Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Duration (d),Source,Year,Month,Landslide
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Waharakgoda(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Getaberi Kanda(GN),Kegalle,2006-11-16,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gevilipitiya Town(GN),Kegalle,2006-11-16,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Narangala(GN),Kegalle,2006-11-16,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Rahala(GN),Kegalle,2006-11-16,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002015,Arandara(GN),Kegalle,2006-11-17,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002015,Narangoda(GN),Kegalle,2006-11-17,0,DS OFFICE,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Devanagala(GN),Kegalle,2006-11-18,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Wadumulla,Kegalle,2006-11-25,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,,Kegalle,2006-11-26,0,DS OFFICE,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,Elamaldeniya(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,Maha Pallegama(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,Mampita(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,Thambadiya(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,Tholangamuwa(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002018,,Kegalle,2006-12-11,0,Ds Office,2006,12,1
LA206,LANDSLIDE,lka009,lka009002,lka009002018,Othnapitiya(GN),Kegalle,2006-12-11,0,DS OFFICE,2006,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Deraniyagala South(GN),Kegalle,2007-05-15,0,DIWAINA20070517,2007,5,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Rasnakkanda(GN),Kegalle,2007-05-15,0,DIWAINA20070517,2007,5,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,,Kegalle,2007-05-15,0,DIWAINA20070517,2007,5,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Deraniyagala South(GN),Kegalle,2007-10-23,0,DS OFFICE,2007,10,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Lassegama(GN),Kegalle,2007-10-23,0,DS OFFICE,2007,10,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002027,,Kegalle,2007-11-23,0,DS OFFICE,2007,11,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,,Kegalle,2007-12-03,0,DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Basnagala(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,Batangala(GN),Kegalle,2007-12-05,0,DIVAINA20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Behenella(GN),Kegalle,2007-12-05,0,Ds Office,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,Dehiovita(GN),Kegalle,2007-12-05,0,DIVAINA20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,"Deraniyagala North,Shailagiriya",Kegalle,2007-12-05,0,DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Deraniyagala South(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Deraniyagala(GN),Kegalle,2007-12-05,0,EOC,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,Hinguralakanda(GN),Kegalle,2007-12-05,0,DIVAINA20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Keerahena(GN),Kegalle,2007-12-05,0,Divaina20070526/ Ds Office,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Kosgahakanda(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Lassegama(GN),Kegalle,2007-12-05,0,Divaina20070526 /DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Miyanavita(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/ Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,mudagalla,Kegalle,2007-12-05,0,EOC,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Nakkavita(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Nilwala(GN),Kegalle,2007-12-05,0,DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Rasnakkanda(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,Thaldoowa(GN),Kegalle,2007-12-05,0,DIVAINA20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,Thimbiripola(GN),Kegalle,2007-12-05,0,DIVAINA20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Udabage(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Udapola(GN),Kegalle,2007-12-05,0,EOC/LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Yatiwala(GN),Kegalle,2007-12-05,0,LANKADEEPA20070516/Divaina20070526,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,,Kegalle,2007-12-05,0,LANKADEEPA20070516/DIVAINA20070525,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002030,,Kegalle,2007-12-05,0,DIVAINA20070526 /DS OFFICE,2007,12,1
LA2007,LANDSLIDE,lka009,lka009002,lka009002015,Atugoda(GN),Kegalle,2007-12-11,0,Ds Office,2007,12,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002030,Batangala(GN),Kegalle,2008-01-05,0,EOC,2008,1,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002030,Maniyangama(GN),Kegalle,2008-01-05,0,EOC,2008,1,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002030,Viharakanda(GN),Kegalle,2008-01-05,0,EOC,2008,1,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002030,Daigala (GN),Kegalle,2008-01-06,0,EOC,2008,1,1
LA2008,LANDSLIDE,lka009,lka009002,lka009002024,,Kegalle,2008-04-28,0,EOC/Ds Office,2008,4,1
