Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Kekirawa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Palugaswewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Medawachchiya,Anuradhapura,2000,12,26,9.7,1
Cyclone,Kebithigollewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Padaviya,Anuradhapura,2000,12,26,9.7,1
Cyclone,Haputhalegama(GN),Badulla,2000,8,16,11.0,1
Cyclone,Ranjallawa(GN),Badulla,2000,8,16,11.0,1
Cyclone,Viharakele(GN),Badulla,2000,8,16,11.0,1
Cyclone,Hela Kadurugamuwa(GN),Badulla,2000,6,8,11.5,1
Cyclone,Pahala Kadurugamuwa(GN),Badulla,2000,6,8,11.5,1
Cyclone,Horadorowwa(GN),Badulla,2000,7,8,11.5,1
Cyclone,Aboddagama (GN),Kurunegala,2000,12,25,9.3,1
Cyclone,Kanagallewa (GN),Kurunegala,2000,12,25,9.3,1
Cyclone,Nammuwawa (GN),Kurunegala,2000,12,28,9.3,1
Cyclone,Kahatagasdigiliya,Anuradhapura,2000,12,26,9.7,0
Cyclone,Horivila(GN),Anuradhapura,2000,12,26,9.7,0
Cyclone,Moragoda(GN),Anuradhapura,2000,12,26,9.7,0
Cyclone,Bandara Ulpatha(GN),Anuradhapura,2000,12,26,9.7,0
Cyclone,Kurulugama(GN),Anuradhapura,2000,12,26,9.7,0
Cyclone,Konketiyawa,Anuradhapura,2000,12,26,9.7,0
Cyclone,Panamura(GN),Ratnapura,2000,5,30,10.1,0
Cyclone,thikkanagar,Ampara,2000,12,26,9.1,0
Cyclone,4,Trincomalee,2000,12,26,12.1,0
Cyclone,3,Trincomalee,2000,12,26,12.1,0
Cyclone,Kiridigala(GN),Ratnapura,2000,11,8,6.1,0
Cyclone,Pulmoddi (GN)1,Trincomalee,2000,12,26,12.1,0
Cyclone,Kallady Veloor(GN),Batticaloa,2000,12,26,11.0,0
Cyclone,Serupitiya(GN),Ampara,2000,5,1,7.5,0
Cyclone,Valachchenai(GN),Batticaloa,2000,12,26,11.0,0
Cyclone,Annasiwewa,Anuradhapura,2000,12,26,9.7,0
Cyclone,Handungamuwa,Anuradhapura,2000,12,26,9.7,0
Cyclone,Pundaluoya(GN),Nuwara Eliya,2000,1,18,7.4,0
Cyclone,Thoduwawa East (GN),Puttalam,2000,10,20,11.0,0
Cyclone,Pelapitiyagoda North(GN),Kaluthara,2000,10,7,9.6,0
Cyclone,Pelapitiyagoda(GN),Kaluthara,2000,10,7,9.6,0
Cyclone,Baddegama,Galle,2000,6,1,15.4,0
Cyclone,Wanduramba(GN),Galle,2000,1,6,7.4,0
Cyclone,Siyambalagaswewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Eheliyagoda,Ratnapura,2000,12,26,6.7,0
Cyclone,Mangalapura(GN),Puttalam,2000,12,26,12.3,0
Cyclone,Maimigoda,Ratnapura,2000,12,26,6.7,1
Cyclone,Milankulama(GN),Puttalam,2000,12,26,12.3,0
Cyclone,Maha Andarawewa(GN),Puttalam,2000,12,26,12.3,0
Cyclone,Weerapandiyana (GN),Puttalam,2000,12,26,12.3,0
Cyclone,Malayadikiramam(GN),Ampara,2000,12,4,9.1,0
Cyclone,Helagampura(GN),Ampara,2000,12,4,9.1,0
Cyclone,pahala Katuneriya,Puttalam,2000,12,26,12.3,0
Cyclone,katuneriya(GN2),Puttalam,2000,12,26,12.3,0
Cyclone,Thoduwawa South (GN),Puttalam,2000,10,20,11.0,0
Cyclone,Dodangoda,Kaluthara,2000,7,10,13.2,0
Cyclone,Kothmale,Nuwara Eliya,2000,1,18,7.4,1
Cyclone,Wanduramba(GN),Galle,2000,1,6,7.4,1
Cyclone,Damana,Ampara,2000,4,12,5.7,1
Cyclone,Thambuttegama,Anuradhapura,2000,12,26,9.7,0
Cyclone,Karachchi,Kilinochchi,2000,12,26,13.2,0
Cyclone,Dimbulagala,Polannaruwa,2000,12,26,8.9,0
Cyclone,Vahaneri(GN),Batticaloa,2000,12,26,11.0,1
Cyclone,Gemunupura(GN),Monaragala,2000,6,12,11.3,1
Cyclone,Balangoda,Ratnapura,2000,7,12,12.5,1
Cyclone,Balangoda,Ratnapura,2000,6,30,12.6,1
Cyclone,Balangoda,Ratnapura,2000,6,28,12.6,1
Cyclone,Balangoda,Ratnapura,2000,6,6,12.6,1
Cyclone,Siyambalanduwa (GN),Monaragala,2000,5,29,8.8,1
Cyclone,Balangoda,Ratnapura,2000,7,2,12.5,1
Cyclone,Siyambalanduwa (GN),Monaragala,2000,10,20,6.9,1
Cyclone,Balangoda,Ratnapura,2000,8,11,12.1,1
Cyclone,Balangoda,Ratnapura,2000,7,3,12.5,1
Cyclone,Balangoda,Ratnapura,2000,6,10,12.6,1
Cyclone,Malayadikiramam(GN),Ampara,2000,12,4,9.1,1
Cyclone,Helagampura(GN),Ampara,2000,12,4,9.1,1
Cyclone,Pundaluoya(GN),Nuwara Eliya,2000,1,18,7.4,1
Cyclone,Handungamuwa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Weligepola,Ratnapura,2000,7,10,12.5,1
Cyclone,Mahaoya,Ampara,2000,10,4,6.2,0
Cyclone,Vanathavilluwa,Puttalam,2000,12,26,12.3,0
Cyclone,Mahawewa,Puttalam,2000,10,20,11.0,0
Cyclone,Wattegama(GN),Monaragala,2000,12,26,7.7,1
Cyclone,Wattegama(GN),Monaragala,2000,12,20,7.7,1
Cyclone,Weragoda(GN),Monaragala,2000,6,12,11.3,1
Cyclone,Balangoda,Ratnapura,2000,8,18,12.1,1
Cyclone,Madugama(GN),Monaragala,2000,6,12,11.3,1
Cyclone,Konketiyawa,Anuradhapura,2000,12,26,9.7,1
Cyclone,Kurulugama(GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Bandara Ulpatha(GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Moragoda(GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Koralai Pattu (Valachchenai),Batticaloa,2000,12,26,11.0,0
Cyclone,Horivila(GN),Anuradhapura,2000,12,26,9.7,1
Cyclone,Kahatagasdigiliya,Anuradhapura,2000,12,26,9.7,1
Cyclone,Panamura(GN),Ratnapura,2000,5,30,10.1,1
Cyclone,Siyambalanduwa (GN),Monaragala,2000,5,29,8.8,0
Cyclone,Kotiyagala(GN),Monaragala,2000,6,12,11.3,1
Cyclone,Perakumpura(GN),Monaragala,2000,10,23,6.9,1
Cyclone,Wattegama (GN),Monaragala,2000,3,24,5.7,1
Cyclone,Siyambalanduwa(GN),Monaragala,2000,8,23,10.9,1
Cyclone,Koralai Pattu West (Oddamavadi,Batticaloa,2000,12,26,11.0,0
Cyclone,Siyambalanduwa,Monaragala,2000,5,29,8.8,0
Cyclone,Siyambalanduwa,Monaragala,2000,10,20,6.9,0
Cyclone,Siyambalanduwa,Monaragala,2000,7,31,11.2,0
Cyclone,Siyambalanduwa,Monaragala,2000,7,25,11.2,0
Cyclone,Hadukanda(GN),Ratnapura,2000,5,21,10.1,1
Cyclone,Deheragoda(GN),Ratnapura,2000,8,6,12.1,1
Cyclone,Ellawala Pahalagama(GN),Ratnapura,2000,11,17,6.1,1
Cyclone,Dodampe(GN),Ratnapura,2000,6,19,12.6,1
Cyclone,Yatipawwa(GN),Ratnapura,2000,2,25,5.0,1
Cyclone,Siyambalanduwa,Monaragala,2000,7,24,11.2,0
Cyclone,Samanthurai,Ampara,2000,4,12,5.7,1
Cyclone,Siyambalanduwa,Monaragala,2000,3,24,5.7,0
Cyclone,Uduhawara (GN),Badulla,2000,12,8,7.1,0
Cyclone,Madugama (GN),Monaragala,2000,3,24,5.7,1
Cyclone,Guruthalawa (GN),Badulla,2000,12,8,7.1,0
Cyclone,Wattegama(GN),Monaragala,2000,8,23,10.9,1
Cyclone,Perakumpura(GN),Monaragala,2000,9,28,9.8,1
Cyclone,Buddama(GN),Monaragala,2000,11,9,6.1,1
Cyclone,Manmunai North (Batti Town),Batticaloa,2000,12,26,11.0,0
Cyclone,Kuchchaveli,Trincomalee,2000,12,26,12.1,0
Cyclone,Vavuniya(Tamil),Vavuniya,2000,12,26,10.1,0
Cyclone,Kalmunai,Ampara,2000,12,26,9.1,0
Cyclone,Vadamaradchi South-west (Karav,Jaffna,2000,12,26,14.2,0
Cyclone,Buddama(GN),Monaragala,2000,11,28,6.1,1
Cyclone,Perakumpura (GN),Monaragala,2000,7,8,11.2,1
Cyclone,Kodayana (GN),Monaragala,2000,7,25,11.2,1
Cyclone,Buddama (GN),Monaragala,2000,7,24,11.2,1
Cyclone,Alugolla (GN),Badulla,2000,12,8,7.1,0
Cyclone,Liyangolla (GN),Monaragala,2000,5,7,8.8,1
Cyclone,Keppetipola (GN),Badulla,2000,12,8,7.1,0
Cyclone,Ambagahapitiya (GN),Monaragala,2000,4,26,5.3,1
Cyclone,Ambagahapitiya(GN),Monaragala,2000,4,9,5.3,1
Cyclone,Helamulla (GN),Monaragala,2000,7,31,11.2,1
Cyclone,Karaveddy East(GN),Jaffna,2000,12,26,14.2,0
Cyclone,Imbulpe,Ratnapura,2000,5,20,10.1,0
Cyclone,manampitiya(GN),Polannaruwa,2000,12,26,8.9,0
