Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
STRONG WIND,2,2002,2002027.0,Gemburuoya(Gn),Matale,2007-06-25,2007,6,25,111.0,10.3
FLOOD,4,4005,4005009.0,Ambalnagar(Gn),Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,4,4005,4005009.0,Thirunagar South(Gn),Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
STRONG WIND,8,8002,8002033.0,Habaraluwewa (Gn),Monaragala,2008-03-30,2008,3,30,103.0,5.7
STRONG WIND,2,2002,2002027.0,Aliwanguwa(Gn),Matale,2007-06-25,2007,6,25,111.0,10.3
FLOOD,8,8002,8002033.0,Habaraluwewa (Gn),Monaragala,2008-12-03,2008,12,3,235.0,7.7
FLOOD,4,4001,4001036.0,Jaffna Town East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,Reclamation East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,6,6002,6002006.0,"Serakkuliya(Gn),Mangalapura(Gn),Milankulama(Gn), ",Puttalam,2007-12-25,2007,12,25,265.9,12.3
FLOOD,4,4001,4001036.0,Fort(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,Koddady(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,Navanthurai South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,Navanthurai North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,Moor Street South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001036.0,New Moor Street(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Irupalai South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Irupalai East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
GALE,1,1001,1001015.0,"Puwakpitiya(Gn),Seethawaka(Gn),Avissawella(Gn)",Colombo,2002-02-05,2002,2,5,69.0,7.8
FLOOD,4,4001,4001018.0,Kopay South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Kopay Centre(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Kopay North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,1,1003,1003015.0,Anguruwathota(Gn),Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,4,4001,4001018.0,Neetvely North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Neervely South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,1,1003,1003021.0,Etavila (Gn),Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,1,1003,1003030.0,Gurudola(Gn),Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,4,4001,4001018.0,Neervely West(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Sirupiddy East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,1,1003,1003010.0,"Poruwadanada West(Gn),Rathmalgoda East(Gn)",Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,4,4001,4001018.0,Puttur East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001018.0,Avarangal West(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,9,9001,9001033.0,On Rakwana -Pothupitiya Road,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,1,1003,1003006.0,Atulugama East (Gn),Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,4,4001,4001018.0,Idaikkaddu(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
