Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ussapitiya(GN),Kegalle,2006-11-13,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Dambakote(GN),Badulla,2008-03-13,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Getaberi Kanda(GN),Kegalle,2006-11-16,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Madugasthalawa,Badulla,2008-03-13,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kandewatta(GN),Kegalle,2006-11-15,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Demodara(GN),Badulla,2008-03-13,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Udagama(GN),Kegalle,2006-11-15,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Kahataruppa(GN),Badulla,2008-03-03,2008,3
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Karawanella(GN),Badulla,2008-03-13,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Deewela Udagama(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kandamulla(GN),Kegalle,2006-11-15,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Maussagolla(GN),Badulla,2008-03-19,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Debathgama Pallebage(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gammannagoda(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Selawa East(GN),Kegalle,2006-11-15,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Thalagahagedara(GN),Badulla,2008-12-03,2008,12
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Narangammana(GN),Kegalle,2006-11-14,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Arumadowa.Passara,Badulla,2008-04-20,2008,4
RA2006,RAINS,lka007,lka007002,lka007002006,Veheragala (GN),Polannaruwa,2006-10-24,2006,10
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ambalakanda(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Devanagala(GN),Kegalle,2006-11-18,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ruwandeniya(GN),Kegalle,2006-11-13,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gevilipitiya Gama(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Podape(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Uduwewela(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Asmadala(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kumarapura(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Waharakgoda(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Keerapana(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Narangala(GN),Kegalle,2006-11-16,2006,11
RA2002,RAINS,lka007,lka007002,lka007002010,Menikwela (GN),Polannaruwa,2002-12-25,2002,12
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Selawa West(GN),Kegalle,2006-11-14,2006,11
