,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
132,Kurunegala,2016,1.7,28.7,150.7,306.5,737.6,133.0,85.2,14.9,2.3,123.1,305.9,26.9
133,Kurunegala,2017,76.1,55.3,288.3,128.4,151.0,171.3,26.2,83.1,175.9,367.3,115.1,156.0
134,Kurunegala,2018,6.4,14.7,148.0,178.9,652.5,159.6,44.6,70.7,121.0,471.2,350.4,99.4
135,Kurunegala,2019,0.0,85.3,32.7,145.5,0.9,156.4,96.2,137.1,157.3,479.8,322.1,156.1
136,Kurunegala,2020,22.3,0.6,52.7,428.0,373.5,95.3,119.3,83.0,370.5,52.4,276.1,195.7
137,Kurunegala,2021,158.9,3.6,66.6,165.0,467.9,214.7,103.5,81.3,194.0,318.2,717.6,47.7
140,Mannar,2010,27.2,0.0,0.5,54.3,60.2,1.6,0.0,33.5,138.4,106.5,353.0,299.7
141,Mannar,2011,101.1,45.9,5.4,249.1,0.0,0.0,0.0,27.7,0.0,214.7,397.9,161.4
142,Mannar,2012,46.4,2.2,1.4,48.9,0.0,0.0,0.0,0.0,51.2,331.5,32.1,409.8
143,Mannar,2013,113.2,95.8,89.9,13.4,23.8,0.8,0.0,37.3,131.8,41.4,239.2,132.0
144,Mannar,2014,52.9,9.7,2.4,25.3,90.7,0.3,0.0,102.2,109.4,58.9,247.8,352.9
145,Mannar,2015,0.4,24.6,117.5,281.4,149.8,0.6,0.7,3.4,83.7,103.3,608.4,174.2
146,Mannar,2016,20.4,1.2,16.7,10.8,399.3,0.5,1.2,0.0,0.0,10.0,194.4,59.8
147,Mannar,2017,126.4,3.0,41.6,0.0,19.7,7.7,0.0,48.8,79.3,126.3,226.3,28.7
148,Mannar,2018,65.2,1.5,22.7,48.3,80.8,0.0,0.0,0.0,21.3,261.7,282.9,129.0
149,Mannar,2019,0.5,63.5,0.0,19.8,0.0,0.0,0.0,0.6,142.4,474.6,144.7,188.8
150,Mannar,2020,9.8,2.7,0.0,58.7,69.8,8.3,24.3,32.8,179.3,32.1,182.8,320.7
151,Mannar,2021,216.4,25.3,66.5,90.9,85.0,25.3,10.4,5.4,135.5,332.0,665.0,62.6
154,Monaragala,2011,301.6,235.7,250.1,289.5,60.6,8.7,67.0,11.8,128.1,364.5,493.8,189.0
155,Monaragala,2012,68.9,129.5,66.0,289.9,25.7,0.0,34.8,8.5,70.1,231.1,332.6,237.0
156,Monaragala,2013,281.6,117.0,136.2,157.9,97.0,7.7,53.5,155.0,8.6,175.1,188.7,180.7
157,Monaragala,2014,77.4,62.4,29.6,67.8,119.7,0.5,93.0,138.6,87.8,432.9,292.8,450.4
158,Monaragala,2015,25.0,115.4,110.9,363.2,138.0,162.8,28.5,24.5,80.0,411.0,383.5,345.3
159,Monaragala,2016,26.2,101.9,129.2,66.0,238.8,0.0,37.6,153.5,53.3,111.2,90.6,99.0
160,Monaragala,2017,168.7,91.1,198.1,116.5,187.8,8.1,99.1,89.8,21.8,262.8,239.8,239.6
161,Monaragala,2018,99.6,51.9,152.4,138.8,250.3,20.4,107.8,53.9,127.3,495.1,238.1,52.7
162,Monaragala,2019,28.1,198.1,6.5,305.3,47.7,15.2,27.3,13.7,291.7,342.6,371.3,464.8
163,Monaragala,2020,49.3,18.1,3.6,58.6,197.1,75.2,110.2,100.4,136.8,52.4,279.4,239.6
164,Monaragala,2021,193.0,68.1,192.0,204.3,138.7,100.5,106.1,127.0,199.8,266.4,226.3,183.6
168,Mullaitivu,2022,67.6,168.4,23.0,56.4,3.7,31.7,43.9,67.7,73.9,404.3,273.7,264.5
170,Nuwara Eliya,2010,67.7,19.4,134.4,198.5,207.3,283.6,188.0,175.3,161.9,206.2,287.4,252.6
171,Nuwara Eliya,2011,326.0,235.2,68.5,175.9,70.1,41.9,102.0,49.4,97.9,238.9,176.4,117.4
172,Nuwara Eliya,2012,51.1,92.3,29.2,204.1,16.0,30.6,93.6,86.9,45.5,512.6,244.2,365.0
173,Nuwara Eliya,2013,203.2,146.9,133.6,128.7,172.6,452.1,159.3,175.0,181.2,176.6,161.9,66.7
174,Nuwara Eliya,2014,48.4,8.1,46.6,145.4,151.1,173.3,79.8,121.8,187.4,260.0,197.4,438.4
175,Nuwara Eliya,2015,1.9,248.1,42.7,123.9,203.9,130.0,96.9,75.3,234.5,318.4,280.2,265.4
176,Nuwara Eliya,2016,34.8,67.9,67.8,56.3,385.8,84.1,117.5,55.2,35.2,69.7,111.2,52.7
177,Nuwara Eliya,2017,143.6,81.9,204.3,71.5,167.7,56.4,39.2,127.8,161.8,207.5,289.6,156.3
178,Nuwara Eliya,2018,95.4,57.2,79.1,216.1,363.1,125.5,171.5,264.9,157.3,402.7,179.2,61.1
180,Nuwara Eliya,2020,34.0,39.6,13.3,72.8,287.8,103.5,93.4,308.7,191.6,107.5,110.6,203.2
181,Nuwara Eliya,2021,91.4,59.2,108.7,107.2,273.2,111.3,199.6,119.2,158.5,387.5,241.4,78.6
182,Nuwara Eliya,2022,36.8,35.9,47.3,242.7,243.2,47.3,193.8,293.4,71.0,385.3,89.6,141.4
184,Polonnaruwa,2011,663.0,560.0,44.6,150.9,1.6,0.0,38.5,80.9,6.6,734.5,519.5,359.7
185,Polonnaruwa,2012,7.0,239.2,23.6,62.7,0.2,0.0,66.7,3.5,31.8,550.4,249.4,661.1
186,Polonnaruwa,2013,390.3,161.6,207.0,44.0,108.3,0.0,12.4,68.0,12.3,38.8,143.4,228.0
187,Polonnaruwa,2014,270.3,61.8,5.4,58.3,138.1,0.0,0.0,51.0,101.2,318.9,507.8,1129.6
188,Polonnaruwa,2015,92.8,207.5,32.4,55.4,188.1,43.4,0.0,63.5,262.7,458.9,348.1,586.8
189,Polonnaruwa,2016,147.4,52.0,68.4,35.3,254.6,0.0,40.3,1.0,0.0,86.7,383.7,144.7
190,Polonnaruwa,2017,302.3,60.1,151.9,16.7,70.1,0.7,15.0,41.5,131.3,283.0,213.8,150.7
191,Polonnaruwa,2018,19.1,152.7,134.8,79.7,113.9,2.9,0.5,126.7,105.3,429.3,336.2,115.8
192,Polonnaruwa,2019,6.5,75.9,0.0,9.7,79.3,0.0,15.6,30.3,161.6,274.7,330.5,595.1
193,Polonnaruwa,2020,133.3,15.3,0.0,54.4,193.6,42.6,101.3,29.6,17.6,32.9,281.7,547.6
194,Polonnaruwa,2021,453.6,34.5,78.1,112.8,35.4,14.1,28.9,84.2,169.6,201.7,272.0,213.4
197,Ampara,2010,187.4,78.7,56.3,44.5,72.1,0.2,2.1,77.6,122.2,72.3,117.0,394.5
198,Ampara,2011,595.9,308.3,103.3,60.6,47.7,0.0,3.7,10.1,52.5,191.8,458.9,364.0
199,Ampara,2012,51.3,342.6,92.4,21.3,0.0,0.0,1.2,5.7,192.8,178.1,84.3,430.5
200,Ampara,2013,433.9,210.4,164.2,3.1,30.9,11.9,21.9,27.4,19.7,133.0,194.6,362.0
201,Ampara,2014,276.8,72.3,46.6,1.3,50.2,7.8,8.2,5.7,27.1,209.3,496.8,658.9
