Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Cyclone
40056,STRONG WIND,lka001,lka001003,lka001003027,Dodangoda,Kaluthara,2000-07-19,2000,7,0
40058,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-20,2000,7,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-21,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe(GN),Ratnapura,2000-07-21,2000,7,1
40053,GALE,lka008,lka008001,lka008001039,"Horadorowwa(GN),Pahala kadurugamuwa(GN)",Badulla,2000-07-22,2000,7,0
40057,STRONG WIND,lka009,lka009001,lka009001045,Weligepola,Ratnapura,2000-07-22,2000,7,0
40062,STRONG WIND,lka008,lka008002,lka008002012,Helamulla (GN),Monaragala,2000-07-22,2000,7,0
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-24,2000,7,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama (GN),Monaragala,2000-07-24,2000,7,1
GA2000,GALE,lka008,lka008002,lka008002012,Kodayana (GN),Monaragala,2000-07-25,2000,7,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-25,2000,7,1
40050,STRONG WIND,lka009,lka009001,lka009001015,Muttettuwegama(GN),Ratnapura,2000-07-29,2000,7,0
40052,STRONG WIND,lka009,lka009001,lka009001015,Morahela(GN),Ratnapura,2000-07-30,2000,7,0
40060,GALE,lka008,lka008002,lka008002012,Buddama (GN),Monaragala,2000-07-30,2000,7,0
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Helamulla (GN),Monaragala,2000-07-31,2000,7,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-31,2000,7,1
