Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Imbulpe,Ratnapura,2019,8,23,0.39,0
Cyclone,Eheliyagoda,Ratnapura,2019,8,24,0.39,0
Cyclone,Ayagama,Ratnapura,2019,8,26,0.39,0
Cyclone,Elapatha,Ratnapura,2019,8,26,0.39,0
Cyclone,Nivithigala,Ratnapura,2019,8,23,0.39,0
Cyclone,Kiriella,Ratnapura,2007,4,23,0.18,1
Cyclone,Imbulpe,Ratnapura,2019,7,26,0.4,0
Cyclone,Kalalella,Ratnapura,2006,2,5,0.18,0
Cyclone,Kalalella,Ratnapura,2006,5,4,0.33,0
Cyclone,Kahawatta,Ratnapura,2003,8,20,0.39,1
Cyclone,Nambuluwa,Ratnapura,2006,5,15,0.33,0
Cyclone,Panamunupanna,Ratnapura,2006,1,10,0.21,0
Cyclone,Atakalapanna,Ratnapura,2006,2,4,0.18,0
Cyclone,Kahawatta,Ratnapura,2003,1,1,0.21,1
Cyclone,Eheliyagoda,Ratnapura,2000,12,26,0.22,1
Cyclone,Kuruvita,Ratnapura,2001,4,14,0.18,1
Cyclone,Atakalpanna,Ratnapura,2006,4,24,0.18,0
Cyclone,Eheliyagoda,Ratnapura,2006,4,1,0.18,1
Cyclone,Nugawela East,Ratnapura,2006,5,1,0.33,0
Cyclone,Pelmadulla,Ratnapura,2007,6,22,0.42,1
Cyclone,Kalalella,Ratnapura,2006,5,8,0.33,0
Cyclone,Ayagama,Ratnapura,2007,6,22,0.42,1
Cyclone,Atakalapanna,Ratnapura,2006,5,10,0.33,0
Cyclone,Embilipitiya,Ratnapura,2019,4,28,0.18,0
Cyclone,Nivithigala,Ratnapura,2005,11,22,0.2,1
Cyclone,Kuruvita,Ratnapura,2003,7,1,0.4,1
Cyclone,Ratnapura,Ratnapura,2012,5,15,0.33,1
Cyclone,Ratnapura,Ratnapura,2012,6,7,0.42,1
Cyclone,Kolonna,Ratnapura,2019,7,29,0.4,0
Cyclone,Opanayaka,Ratnapura,2019,7,20,0.4,0
Cyclone,Kuruvita,Ratnapura,2019,7,26,0.4,0
Cyclone,Godakawela,Ratnapura,2019,7,8,0.4,0
Cyclone,Ratnapura,Ratnapura,2019,7,9,0.4,0
Cyclone,Kalawana,Ratnapura,2019,7,23,0.4,0
Cyclone,Kiriella,Ratnapura,2019,7,29,0.4,0
Cyclone,Pelmadulla,Ratnapura,2019,7,8,0.4,0
Cyclone,Nivithigala,Ratnapura,2019,7,25,0.4,0
Cyclone,Kahawatta,Ratnapura,2019,7,16,0.4,0
Cyclone,Elapatha,Ratnapura,2019,7,8,0.4,0
Cyclone,Ayagama,Ratnapura,2019,7,27,0.4,0
Cyclone,Eheliyagoda,Ratnapura,2019,7,29,0.4,0
Cyclone,Weligepola,Ratnapura,2019,7,23,0.4,0
Cyclone,Kahawatta,Ratnapura,2006,3,1,0.13,1
Cyclone,Kahawatta,Ratnapura,2006,5,28,0.33,1
Cyclone,Kahawatta,Ratnapura,2005,10,20,0.26,1
Cyclone,Kahawatta,Ratnapura,2006,5,26,0.33,1
Cyclone,Kahawatta,Ratnapura,2005,12,20,0.22,1
Cyclone,Kahawatta,Ratnapura,2006,3,2,0.13,1
Cyclone,Kahawatta,Ratnapura,2005,8,9,0.39,1
Cyclone,Kahawatta,Ratnapura,2006,1,2,0.21,1
Cyclone,Kahawatta,Ratnapura,2006,1,28,0.21,1
Cyclone,Embilipitiya,Ratnapura,2012,5,8,0.33,1
Cyclone,Kahawatta,Ratnapura,2006,3,6,0.13,1
Cyclone,Kuruvita,Ratnapura,2011,4,29,0.18,1
Cyclone,Balangoda,Ratnapura,2002,10,14,0.26,1
Cyclone,Weligepola,Ratnapura,2003,11,17,0.2,1
Cyclone,Embilipitiya,Ratnapura,2011,1,13,0.21,1
Cyclone,Weligepola,Ratnapura,2006,11,6,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,8,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,7,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,9,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,19,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,24,0.2,1
Cyclone,Weligepola,Ratnapura,2006,11,28,0.2,1
Cyclone,Kahawatta,Ratnapura,2003,5,16,0.33,1
Cyclone,Kolonna,Ratnapura,2006,3,11,0.13,1
Cyclone,Godakawela,Ratnapura,2002,10,2,0.26,1
Cyclone,Kahawatta,Ratnapura,2003,5,17,0.33,1
Cyclone,Kahawatta,Ratnapura,2003,10,30,0.26,1
Cyclone,Kahawatta,Ratnapura,2004,6,3,0.42,1
Cyclone,Kahawatta,Ratnapura,2004,7,4,0.4,1
Cyclone,Kahawatta,Ratnapura,2004,6,2,0.42,1
Cyclone,Kahawatta,Ratnapura,2004,6,30,0.42,1
Cyclone,Kahawatta,Ratnapura,2004,6,10,0.42,1
Cyclone,Kahawatta,Ratnapura,2004,5,30,0.33,1
Cyclone,Kahawatta,Ratnapura,2004,6,16,0.42,1
Cyclone,Kahawatta,Ratnapura,2004,5,6,0.33,1
Cyclone,Kolonna,Ratnapura,2005,11,27,0.2,1
Cyclone,Nivithigala,Ratnapura,2019,4,25,0.18,0
Cyclone,Eheliyagoda,Ratnapura,2019,4,23,0.18,0
Cyclone,Kahawatta,Ratnapura,2007,1,6,0.21,1
Cyclone,Bowatta,Ratnapura,2000,3,28,0.13,0
Cyclone,Kiridigala,Ratnapura,2000,11,10,0.2,0
Cyclone,Kalawana,Ratnapura,2017,11,29,0.2,1
Cyclone,Opanayaka,Ratnapura,2017,11,29,0.2,1
Cyclone,Imbulpe,Ratnapura,2017,11,29,0.2,1
Cyclone,Pelmadulla,Ratnapura,2009,7,5,0.4,1
Cyclone,Balangoda,Ratnapura,2017,11,29,0.2,1
Cyclone,Kahawatta,Ratnapura,2017,11,29,0.2,1
Cyclone,Kuruvita,Ratnapura,2017,11,29,0.2,1
Cyclone,Nivithigala,Ratnapura,2017,11,29,0.2,1
Cyclone,Pelmadulla,Ratnapura,2017,11,29,0.2,1
Cyclone,Ratnapura,Ratnapura,2017,11,29,0.2,1
